,name,id,type,price,material,description,colors,sizes,imageCount
48,Straight Denim,6922651369544,Denim,68.0,100% cotton,"The New Straight Denim Are Designed With Our New And Updated Relaxed Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Constructed From 100% 13 Oz Indigo Cotton Denim With A Dark Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Dark Vintage,28/29/30/31/32/33/34/36/38/40/42,7
49,Baggy Denim,6922651238472,Denim,68.0,100% cotton,"The New Baggy Denim Are Designed With Our New And Updated Baggy Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Constructed From 100% 13 Oz Indigo Cotton Denim With A Medium Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Medium Blue,28/29/30/31/32/33/34/36/38/40/42,8
50,Baggy Denim,6922650943560,Denim,68.0,100% cotton,"The New Baggy Denim Are Designed With Our New And Updated Baggy Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Constructed From 100% 13 Oz Indigo Cotton Denim With A Light Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Light Blue,28/29/30/31/32/33/34/36/38/40/42,9
51,Baggy Zipper Denim Shorts,6917813239880,Denim,78.0,100% cotton,"The Baggy Zipper Denim Shorts Are Designed With A Relaxed Fit Throughout, Extended Inseam Length For A Vintage Inspired Fit, Constructed From A Vintage Washed Black Cotton Denim, And Finished Off With Zipper Closure Pockets Throughtout.",Black,28/29/30/31/32/33/34/36/38/40/42,7
52,V724 Baggy Choir Denim,6907635204168,Denim,68.0,100% cotton,The V724 Baggy Chore Denim Is Designed With Our Updated V Fit Which Is More Relaxed Throughout Than Our Initial V Fit And Features Vintage Wash Base With Sanding And Whiskering Details Throughout.,Washed Black,28/29/30/31/32/33/34/36/38/40/42,8
53,Ultra Baggy Channel Cargo Denim,6901145075784,Denim,108.0,100% cotton,"The Ultra Baggy Channel Cargo Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From A Natural Colored Denim With A Rinse Wash, Featuring Cargo Pockets Throughout With Snap Closures, Paneled Details At The Knee And Shin, And Finished With A Button Placket.",Tan,28/29/30/31/32/33/34/36/38/40/42,8
54,Raw Baggy Denim,6922651795528,Denim,74.0,100% cotton,"The New Raw Baggy Denim Is Made From Deep Black 13 Oz Cotton Denim That Keeps The Look Of Raw With A Single Rinse To Reduce Dye Transfer And Shrinkage. The Color Stays Rich, The Structure Stays Sharp, And The Fabric Softens Slightly For A More Comfortable Wear From Day One. These Baggy Denim Are Designed With Our New And Updated Baggy Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Finished With Traditional Five Pocket Denim Details.",Rinsed Black,28/29/30/31/32/33/34/36/38/40/42,7
55,Skinny Denim,6922651336776,Denim,64.0,92% cotton 7% polyester 1% spandex,"The New Skinny Denim Are Designed With Our New And Updated Skinny Fit, Which Is Skinny Throughout For Increased Comfort And Updated Look, And Is Constructed From Stretch 13 Oz Indigo Cotton Denim With A Dark Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Dark Vintage,28/29/30/31/32/33/34/36/38/40/42,8
56,Ultra Baggy Dried Denim,6917813895240,Denim,76.0,100% cotton,"The Ultra Baggy Dried Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Black Denim With A Vintage Wash With Sanding Throughout, Featuring Standard Five Pocket Denim Details, And Finished With A Button Placket.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,8
57,Ultra Baggy Denim on Denim,6914534342728,Denim,42.0,100% cotton,"The Ultra Baggy Denim On Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Contrasting Black And Medium Washed Blue Denim, The Black Top Layer Extends Past The Knee And Has A Raw Edge, Featuring Standard Five Pocket Denim Details, And Finished With A Button Placket.",Black/Blue,28/29/30/31/32/33/34/36/38/40/42,8
